rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,1843200,3.8696693936983744,13.082887168,1.5576941967010498,4.747860980375087
16,32,3686400,4.062924468517304,12.48637952,1.5160834789276123,4.554353000077306
64,128,14745600,3.882868274052938,13.866431488,1.4768110513687134,4.378959115873907
